"","Rendimento Escolar","Inteligência","Motivação","Ansiedade","Número de Recursos","Índice Acadêmico","Idade","Sexo","Trabalha Atualmente","Design Instrucional","Atitude Postiva EAD","Resolução de Problemas","Rendimento EscolarZ","InteligênciaZ","MotivaçãoZ","AnsiedadeZ","Número de Recursos","Índice AcadêmicoZ","IdadeZ","Atitude Postiva EADZ","Resolução de ProblemasZ"
"21",53.8,85.1,14.3,10.8,15,62.1,22,"Feminino","Ativ.Remunerada","Padrão",24.6,51.6,-1.06151092272517,-1.12355986933356,-1.41016695829346,0.373159599115194,1.72565420403802,-0.855826392509713,0.0474249928358163,-0.168261684186114,0.463382283576197
"22",61.5,96.9,21.3,8,7,68.8,22,"Masculino","Ativ.Remunerada","Padrão",27.3,48.9,-0.00832065900987214,-0.251628543167126,0.295434546337938,-1.041982898658,-0.846749578378902,-0.159990359524449,0.0474249928358163,0.671750421766138,-0.464298511521974
"23",63.3,85.6,23.4,5.7,12,80.8,19,"Masculino","Estágio","Padrão",26.3,52.6,0.237879662378119,-1.08661362669939,0.807114997727356,-2.2044213789717,0.761002785631672,1.08628313238946,-1.45020635987419,0.360634826969008,0.806967763242187
"24",58.9,89.8,20.7,8.7,5,71.4,24,"Feminino","Ativ.Remunerada","Personalizado",21.2,47.6,-0.363943345459193,-0.776265188572351,0.149240131655247,-0.688197274214704,-1.48985052398313,0.110035563723565,1.04584589464249,-1.22605470649636,-0.910959635087759
"25",64.3,91.2,16.5,9.2,10,70.6,24,"Feminino","Ativ.Remunerada","Personalizado",23.6,49.1,0.374657618704781,-0.672815709196672,-0.874120771123589,-0.435493256755204,0.117901840027442,0.0269506642626371,1.04584589464249,-0.479377278983245,-0.395581415588776
"26",71.8,76.4,23.8,11.7,11,70,28,"Masculino","Ativ.Remunerada","Personalizado",22.5,48.4,1.40049229115474,-1.76642449116813,0.904577940849151,0.828026830542292,0.439452312829557,-0.0353630103330577,3.04268769825583,-0.821604433260089,-0.636091251354969
"27",65.1,111.7,20.7,7.8,10,70.1,22,"Masculino","Ativ.Remunerada","Padrão",25.4,49.6,0.48407998376611,0.841980238804329,0.149240131655247,-1.1430645056418,0.117901840027442,-0.0249773979004424,0.0474249928358163,0.0806307916515893,-0.223788675755781
"28",55.3,102.1,15.7,12.3,12,69.8,20,"Masculino","Ativ.Remunerada","Personalizado",21.6,51.3,-0.856343988235176,0.13261238022825,-1.06904665736718,1.13127165149369,0.761002785631672,-0.0561342351982898,-0.950995908970854,-1.10160846857751,0.360306639676399
"29",54.4,84.1,14.4,10.8,14,70.3,19,"Masculino","Ativ.Remunerada","Personalizado",21.2,49.4,-0.979444148929172,-1.1974523546019,-1.38580122251301,0.373159599115194,1.4041037312359,-0.00420617303521034,-1.45020635987419,-1.22605470649636,-0.29250577168898
"30",66.3,117.6,28.3,10.7,8,55.7,23,"Masculino","Estágio","Padrão",32.7,52.4,0.648213531358104,1.27794590188754,2.00103605096933,0.322618795623293,-0.525199105576787,-1.52050558819713,0.546635443739151,2.35177463367064,0.738250667308988
"31",68.5,106,17.3,8.3,8,81.1,25,"Feminino","Ativ.Remunerada","Padrão",24.8,49.2,0.949125035276761,0.420793072774782,-0.679194884880001,-0.890360488182302,-0.525199105576787,1.11743996968731,1.54505634554582,-0.106038565226688,-0.361222867622176
"32",46.2,95.9,12.6,13.9,12,72.4,24,"Masculino","Ativ.Remunerada","Personalizado",18.2,43.6,-2.1010233908078,-0.325521028435467,-1.82438446656108,1.93992450736409,0.761002785631672,0.213891688049724,1.04584589464249,-2.15940149088775,-2.28530155375172
"33",67.4,112.5,22.1,9.7,9,77.1,22,"Feminino","Ativ.Remunerada","Personalizado",25.4,47.6,0.798669283317434,0.901094227019002,0.490360432581527,-0.182789239295705,-0.203648632774673,0.70201547238267,0.0474249928358163,0.0806307916515893,-0.910959635087759
"34",77.7,112.3,21.2,6.4,14,88.6,19,"Masculino","Ativ.Remunerada","Personalizado",30.4,54.3,2.20748223348205,0.886315729965333,0.27106881055749,-1.8506357545284,1.4041037312359,1.8963609021335,-1.45020635987419,1.63620876563724,1.39106307867437
"35",58.3,111.5,14.6,9.6,10,71.9,21,"Masculino","Ativ.Remunerada","Padrão",25.4,50.5,-0.44601011925519,0.82720174175066,-1.33706975095211,-0.233330042787605,0.117901840027442,0.161963625886645,-0.451785458067519,0.0806307916515893,0.0854382559436088
"36",70.1,109.6,12.2,6.1,11,63.4,16,"Masculino","Estágio","Personalizado",27.7,53.7,1.16796976539942,0.686806019740811,-1.92184740968287,-2.0022581650041,0.439452312829557,-0.720813430885707,-2.94783771258419,0.79619665968499,1.18491179087478
"37",54,107.8,19.5,9.4,6,67.7,21,"Masculino","Estágio","Padrão",22.3,51.2,-1.03415533145984,0.553799546257796,-0.143148697710135,-0.334411649771404,-1.16830005118102,-0.274232096283223,-0.451785458067519,-0.883827552219515,0.325948091709802
"38",62.8,99.1,24.6,9.2,6,66.1,21,"Feminino","Estudante","Padrão",24.8,52.8,0.169490684214788,-0.089065075576775,1.09950382709274,-0.435493256755204,-1.16830005118102,-0.440401895205078,-0.451785458067519,-0.106038565226688,0.875684859175383
"39",43.4,95.7,22.5,11.4,4,51.2,18,"Masculino","Ativ.Remunerada","Personalizado",23.6,47.5,-2.48400166852245,-0.340299525489136,0.58782337570332,0.676404420066593,-1.81140099678525,-1.98785814766485,-1.94941681077752,-0.479377278983245,-0.945318183054359
"40",55.9,94.7,18,12,12,65.8,22,"Masculino","Ativ.Remunerada","Personalizado",22,49.6,-0.774277214439179,-0.414192010757477,-0.508634734416862,0.979649241017992,0.761002785631672,-0.471558732502926,0.0474249928358163,-0.977162230658655,-0.223788675755781
"41",56.7,90.3,16.7,8.5,7,50,22,"Feminino","Ativ.Remunerada","Personalizado",23,50.8,-0.664854849377849,-0.73931894593818,-0.825389299562692,-0.789278881198503,-0.846749578378902,-2.11248549685624,0.0474249928358163,-0.666046635861524,0.188513899843405
"42",54.4,97.1,21.1,11.6,7,77.8,22,"Masculino","Estágio","Padrão",21.8,51.2,-0.979444148929172,-0.236850046113458,0.246703074777042,0.777486027050392,-0.846749578378902,0.774714759410982,0.0474249928358163,-1.03938534961808,0.325948091709802
"43",43.8,82.3,20.6,12.8,11,53.7,19,"Feminino","Ativ.Remunerada","Padrão",25.4,47,-2.42929048599179,-1.33045882808491,0.124874395874799,1.38397566895319,0.439452312829557,-1.72821783684945,-1.45020635987419,0.0806307916515893,-1.11711092288735
"44",76.3,130.4,22.5,8.4,14,77.1,19,"Masculino","Estágio","Personalizado",31.8,54.6,2.01599309462472,2.22376971332232,0.58782337570332,-0.839819684690403,1.4041037312359,0.70201547238267,-1.45020635987419,2.07177059835323,1.49413872257417
"45",61.1,116.9,18.4,8.7,8,67.6,20,"Masculino","Ativ.Remunerada","Padrão",27.3,51,-0.0630318415405367,1.22622116219971,-0.411171791295068,-0.688197274214704,-0.525199105576787,-0.28461770871584,-0.950995908970854,0.671750421766138,0.257230995776603
"46",56,84.3,23.6,11.3,9,69.8,20,"Masculino","Ativ.Remunerada","Padrão",24.6,48.3,-0.760599418806512,-1.18267385754823,0.855846469288254,0.625863616574693,-0.203648632774673,-0.0561342351982898,-0.950995908970854,-0.168261684186114,-0.670449799321569
"47",57.8,94.4,16.7,10.4,8,78.4,22,"Masculino","Estágio","Padrão",24.8,48.9,-0.514399097418521,-0.436359756337979,-0.825389299562692,0.170996385147594,-0.525199105576787,0.837028434006678,0.0474249928358163,-0.106038565226688,-0.464298511521974
"48",58.8,93.5,18.7,11.1,11,85.3,22,"Masculino","Ativ.Remunerada","Personalizado",24.1,48.3,-0.37762114109186,-0.502862993079487,-0.338074583953723,0.524782009590893,0.439452312829557,1.55363569185717,0.0474249928358163,-0.32381948158468,-0.670449799321569
"49",56.7,110.9,23,12.8,8,68.4,21,"Masculino","Ativ.Remunerada","Personalizado",24.8,51.8,-0.664854849377849,0.782866250589656,0.709652054605563,1.38397566895319,-0.525199105576787,-0.201532809254911,-0.451785458067519,-0.106038565226688,0.532099379509394
"50",62.2,98.8,24,10.8,15,66.6,21,"Feminino","Ativ.Remunerada","Personalizado",27.2,50.3,0.0874239104187916,-0.111232821157277,0.953309412410048,0.373159599115194,1.72565420403802,-0.388473833041999,-0.451785458067519,0.640638862286425,0.0167211600104099
"51",50.2,103.5,12.2,12.1,10,74.5,19,"Feminino","Ativ.Remunerada","Padrão",18.5,47.4,-1.55391156550115,0.236061859603928,-1.92184740968287,1.03019004450989,0.117901840027442,0.431989549134658,-1.45020635987419,-2.06606681244861,-0.979676731020958
"52",59.9,99.6,20.4,11.2,8,75.6,21,"Feminino","Ativ.Remunerada","Padrão",24.8,48.3,-0.227165389132531,-0.0521188329426042,0.0761429243139015,0.575322813082793,-0.525199105576787,0.546231285893432,-0.451785458067519,-0.106038565226688,-0.670449799321569
"53",67.8,99.4,22.4,10.9,14,74.3,20,"Masculino","Ativ.Remunerada","Personalizado",28.8,53.9,0.853380465848097,-0.0668973299962717,0.563457639922871,0.423700402607094,1.4041037312359,0.411218324269425,-0.950995908970854,1.13842381396183,1.25362888680797
"54",63.2,119.2,14.2,10.8,10,83,23,"Masculino","Ativ.Remunerada","Personalizado",22,51.7,0.224201866745453,1.39617387831689,-1.4345326940739,0.373159599115194,0.117901840027442,1.31476660590701,0.546635443739151,-0.977162230658655,0.497740831542797
"55",62.4,96.8,21.9,12.6,6,87.6,25,"Masculino","Estágio","Padrão",22,46.6,0.114779501684123,-0.25901779169396,0.441628961020629,1.28289406196939,-1.16830005118102,1.79250477780734,1.54505634554582,-0.977162230658655,-1.25454511475375
"56",74.7,121.2,16.7,8,13,68.3,23,"Feminino","Ativ.Remunerada","Personalizado",28.8,53.1,1.79714836450206,1.54395884885357,-0.825389299562692,-1.041982898658,1.08255325843379,-0.211918421687528,0.546635443739151,1.13842381396183,0.978760503075181
"57",58.7,78.3,24.1,7.8,6,60,25,"Feminino","Estágio","Padrão",23.9,47.6,-0.391298936724525,-1.62602876915828,0.977675148190496,-1.1430645056418,-1.16830005118102,-1.07392425359465,1.54505634554582,-0.386042600544107,-0.910959635087759
"58",75,108.2,22.2,11.2,14,85,21,"Masculino","Ativ.Remunerada","Personalizado",27,51.9,1.83818175140006,0.583356540365134,0.514726168361974,0.575322813082793,1.4041037312359,1.52247885455933,-0.451785458067519,0.578415743326999,0.566457927475993
"59",65.2,101.7,23.1,9.8,7,74,19,"Feminino","Ativ.Remunerada","Personalizado",26.4,51.6,0.497757779398777,0.103055386120914,0.734017790386011,-0.132248435803805,-0.846749578378902,0.380061486971578,-1.45020635987419,0.39174638644872,0.463382283576197
"60",61.2,103,20.5,10.1,13,63.2,24,"Feminino","Estágio","Personalizado",28.2,52.8,-0.0493540459078703,0.199115616969757,0.10050866009435,0.0193739746718944,1.08255325843379,-0.741584655750938,1.04584589464249,0.951754457083556,0.875684859175383
"61",55.3,105.3,23.5,11.5,15,57.1,20,"Masculino","Estágio","Personalizado",24.6,54.9,-0.856343988235176,0.369068333086943,0.831480733507805,0.726945223558492,1.72565420403802,-1.37510701414051,-0.950995908970854,-0.168261684186114,1.59721436647396
"62",63.2,93,25.5,11.5,10,73.1,20,"Masculino","Ativ.Remunerada","Personalizado",27.9,47.9,0.224201866745453,-0.539809235713658,1.31879544911677,0.726945223558492,0.117901840027442,0.286590975078034,-0.950995908970854,0.858419778644416,-0.807883991187964
"63",65.7,95.3,27.9,9.5,8,61.5,24,"Masculino","Ativ.Remunerada","Padrão",25.4,47.3,0.566146757562108,-0.369856519596473,1.90357310784754,-0.283870846279505,-0.525199105576787,-0.918140067105409,1.04584589464249,0.0806307916515893,-1.01403527898756
"64",52.7,85.7,19.9,9.4,11,67.7,21,"Masculino","Ativ.Remunerada","Personalizado",25,49.1,-1.2119666746845,-1.07922437817255,-0.0456857545883409,-0.334411649771404,0.439452312829557,-0.274232096283223,-0.451785458067519,-0.0438154462672625,-0.395581415588776
"65",45.8,85,11,10.1,13,52.9,20,"Feminino","Ativ.Remunerada","Padrão",21.4,50.9,-2.15573457333846,-1.13094911786039,-2.21423623904826,0.0193739746718944,1.08255325843379,-1.81130273631038,-0.950995908970854,-1.16383158753693,0.222872447810004
"66",60.7,104.2,20.1,12.1,17,75.8,23,"Masculino","Ativ.Remunerada","Personalizado",25.7,53.1,-0.117743024071201,0.287786599291767,0.00304571697255675,1.03019004450989,2.36875514964225,0.567002510758664,0.546635443739151,0.173965470090729,0.978760503075181
"67",71,106.3,20.8,10.9,3,90.8,22,"Masculino","Estágio","Personalizado",23,50.2,1.29106992609342,0.442960818355284,0.173605867435696,0.423700402607094,-2.13295146958736,2.12484437565105,0.0474249928358163,-0.666046635861524,-0.017637387956187
"68",59.6,100.7,19.4,12.9,17,70.2,24,"Feminino","Estágio","Padrão",22.8,52.4,-0.268198776030529,0.0291629008525721,-0.167514433490583,1.43451647244509,2.36875514964225,-0.0145917854678256,1.04584589464249,-0.72826975482095,0.738250667308988
"69",73,112.9,22.3,10,7,64.8,24,"Masculino","Ativ.Remunerada","Personalizado",27.2,50.8,1.56462583874674,0.930651221126339,0.539091904142423,-0.0311668288200053,-0.846749578378902,-0.575414856829085,1.04584589464249,0.640638862286425,0.188513899843405
"70",64.9,128.7,24,12.3,8,71.6,20,"Masculino","Ativ.Remunerada","Personalizado",28.2,54.5,0.456724392500779,2.09815248836613,0.953309412410048,1.13127165149369,-0.525199105576787,0.130806788588796,-0.950995908970854,0.951754457083556,1.45978017460757
"71",59.2,93.1,17.9,11.8,15,85.8,23,"Masculino","Estágio","Padrão",22.7,51.9,-0.322909958561194,-0.532419987186824,-0.533000470197311,0.878567634034192,1.72565420403802,1.60556375402025,0.546635443739151,-0.759381314300663,0.566457927475993
"72",52.6,67.7,18.8,11.2,6,66,24,"Masculino","Ativ.Remunerada","Personalizado",21.1,44.3,-1.22564447031716,-2.4092891130027,-0.313708848173274,0.575322813082793,-1.16830005118102,-0.450787507637694,1.04584589464249,-1.25716626597607,-2.04479171798553
"73",71.5,114.1,21.6,10.8,13,56.7,26,"Masculino","Ativ.Remunerada","Padrão",29.3,52.9,1.35945890425675,1.01932220344835,0.368531753679284,0.373159599115194,1.08255325843379,-1.41664946387097,2.04426679644916,1.2939816113604,0.910043407141982
"74",55.1,90.1,17.8,9.4,7,64.7,21,"Masculino","Ativ.Remunerada","Personalizado",24.1,48.8,-0.883699579500508,-0.754097442991849,-0.557366205977759,-0.334411649771404,-0.846749578378902,-0.5858004692617,-0.451785458067519,-0.32381948158468,-0.498657059488574
"75",62.4,90.4,20.4,9.8,15,57.8,27,"Feminino","Ativ.Remunerada","Padrão",27.2,49.9,0.114779501684123,-0.731929697411346,0.0761429243139015,-0.132248435803805,1.72565420403802,-1.3024077271122,2.54347724735249,0.640638862286425,-0.120713031855985
"76",64.6,114.4,12.2,10.5,12,62.7,25,"Feminino","Estágio","Padrão",23.9,54.4,0.415691005602779,1.04148994902885,-1.92184740968287,0.221537188639494,0.761002785631672,-0.793512717914018,1.54505634554582,-0.386042600544107,1.42542162664097
"77",57.4,96,15.5,10.1,7,67.8,23,"Feminino","Ativ.Remunerada","Padrão",24.1,49.3,-0.569110279949186,-0.318131779908633,-1.11777812892807,0.0193739746718944,-0.846749578378902,-0.263846483850608,0.546635443739151,-0.32381948158468,-0.326864319655579
"78",53.4,82.9,14.7,11.9,14,84.7,18,"Feminino","Estágio","Personalizado",20.7,48.6,-1.11622210525583,-1.28612333692391,-1.31270401517166,0.929108437526092,1.4041037312359,1.49132201726148,-1.94941681077752,-1.38161250389492,-0.56737415542177
"79",69.4,102.5,16.6,9.8,14,76.4,25,"Masculino","Estágio","Padrão",24.3,49.9,1.07222519597076,0.162169374335587,-0.84975503534314,-0.132248435803805,1.4041037312359,0.62931618535436,1.54505634554582,-0.261596362625254,-0.120713031855985
"80",58.6,98.1,17.2,9.9,12,64.9,23,"Feminino","Ativ.Remunerada","Padrão",25,47.8,-0.404976732357191,-0.162957560845117,-0.70356062066045,-0.0817076323119049,0.761002785631672,-0.565029244396468,0.546635443739151,-0.0438154462672625,-0.842242539154563
"81",62.5,100.1,21.5,9,8,67,22,"Feminino","Estágio","Padrão",27,53,0.12845729731679,-0.0151725903084335,0.344166017898835,-0.536574863739004,-0.525199105576787,-0.346931383311535,0.0474249928358163,0.578415743326999,0.944401955108582
"82",61.4,105.4,23.9,9.7,10,70.8,22,"Feminino","Estudante","Personalizado",26.6,51.8,-0.0219984546425385,0.376457581613777,0.928943676629599,-0.182789239295705,0.117901840027442,0.0477218891278691,0.0474249928358163,0.453969505408147,0.532099379509394
"83",57.4,94.8,17.1,9.9,9,64.5,22,"Feminino","Estágio","Padrão",23.9,48.2,-0.569110279949186,-0.406802762230643,-0.727926356440898,-0.0817076323119049,-0.203648632774673,-0.606571694126932,0.0474249928358163,-0.386042600544107,-0.704808347288165
"84",72.2,109,16,5.4,13,66.9,23,"Masculino","Ativ.Remunerada","Padrão",29.1,53.5,1.45520347368541,0.642470528579807,-0.995949450025832,-2.3560437894474,1.08255325843379,-0.35731699574415,0.546635443739151,1.23175849240097,1.11619469494158
"85",62.8,96.9,15.8,7.3,9,60.8,23,"Feminino","Ativ.Remunerada","Padrão",23.9,50.6,0.169490684214788,-0.251628543167126,-1.04468092158673,-1.3957685231013,-0.203648632774673,-0.99083935413372,0.546635443739151,-0.386042600544107,0.119796803910208
"86",59.1,104.6,18.3,9.9,7,69.3,24,"Masculino","Estudante","Personalizado",23.9,51.4,-0.33658775419386,0.317343593399103,-0.435537527075516,-0.0817076323119049,-0.846749578378902,-0.108062297361369,1.04584589464249,-0.386042600544107,0.394665187642999
"87",58.6,115.4,19,9.5,11,80,21,"Masculino","Ativ.Remunerada","Padrão",25.5,53,-0.404976732357191,1.11538243429719,-0.264977376612377,-0.283870846279505,0.439452312829557,1.00319823292853,-0.451785458067519,0.111742351131303,0.944401955108582
"88",72.3,106.1,21.9,7.6,7,76,18,"Masculino","Ativ.Remunerada","Personalizado",30.4,54,1.46888126931808,0.428182321301616,0.441628961020629,-1.2441461126256,-0.846749578378902,0.587773735623896,-1.94941681077752,1.63620876563724,1.28798743477457
"89",61.7,95.4,18.7,6,7,72.2,23,"Masculino","Ativ.Remunerada","Padrão",24.5,48.6,0.0190349322554606,-0.362467271069638,-0.338074583953723,-2.052798968496,-0.846749578378902,0.193120463184492,0.546635443739151,-0.199373243665828,-0.56737415542177
"90",73.3,116.1,11.7,9.3,17,84.4,22,"Feminino","Ativ.Remunerada","Padrão",24.8,53.3,1.60565922564474,1.16710717398503,-2.04367608858512,-0.384952453263304,2.36875514964225,1.46016517996363,0.0474249928358163,-0.106038565226688,1.04747759900838
"91",63.7,113.9,19.6,11.3,6,85.7,23,"Feminino","Estágio","Personalizado",23.2,51.3,0.292590844908784,1.00454370639468,-0.118782961929686,0.625863616574693,-1.16830005118102,1.59517814158764,0.546635443739151,-0.603823516902098,0.360306639676399
"92",53.7,107.7,24.7,13.5,11,40.6,23,"Masculino","Ativ.Remunerada","Personalizado",25.2,56.6,-1.07518871835783,0.546410297730963,1.12386956287319,1.73776129339649,0.439452312829557,-3.08873306552213,0.546635443739151,0.0184076726921634,2.18130968190614
"93",64.8,103.3,24.8,9.9,10,76.5,20,"Masculino","Ativ.Remunerada","Padrão",30.7,49.1,0.443046596868112,0.22128336255026,1.14823529865364,-0.0817076323119049,0.117901840027442,0.639701797786975,-0.950995908970854,1.72954344407638,-0.395581415588776
"94",52.1,91.2,16.8,13,7,70.1,19,"Masculino","Ativ.Remunerada","Padrão",21.4,45.4,-1.29403344848049,-0.672815709196672,-0.801023563782244,1.48505727593699,-0.846749578378902,-0.0249773979004424,-1.45020635987419,-1.16383158753693,-1.66684769035294
"95",56.6,119,13.8,10.2,10,54.5,21,"Masculino","Estudante","Padrão",25.7,50.8,-0.678532645010515,1.38139538126322,-1.5319956371957,0.069914778163794,0.117901840027442,-1.64513293738852,-0.451785458067519,0.173965470090729,0.188513899843405
"96",72.3,91.6,29.8,10.2,7,95.2,20,"Feminino","Estágio","Personalizado",30.4,47,1.46888126931808,-0.643258715089337,2.36652208767606,0.069914778163794,-0.846749578378902,2.58181132268615,-0.950995908970854,1.63620876563724,-1.11711092288735
"97",57.7,130.6,19.4,10.6,4,70.6,22,"Masculino","Ativ.Remunerada","Padrão",27,49.7,-0.528076893051187,2.23854821037598,-0.167514433490583,0.272077992131394,-1.81140099678525,0.0269506642626371,0.0474249928358163,0.578415743326999,-0.189430127789182
"98",59.7,121.5,19.6,8.3,2,63.9,22,"Feminino","Estágio","Personalizado",28.9,47.1,-0.254520980397863,1.56612659443408,-0.118782961929686,-0.890360488182302,-2.45450194238948,-0.668885368722627,0.0474249928358163,1.16953537344155,-1.08275237492075
"99",58.7,96.7,21.7,9.9,7,75.9,19,"Feminino","Estágio","Personalizado",25.5,46.2,-0.391298936724525,-0.266407040220794,0.392897489459732,-0.0817076323119049,-0.846749578378902,0.577388123191281,-1.45020635987419,0.111742351131303,-1.39197930662014
"100",54.9,85.6,13.5,11.8,10,82,25,"Masculino","Estágio","Personalizado",20,46,-0.911055170765841,-1.08661362669939,-1.60509284453704,0.878567634034192,0.117901840027442,1.21091048158085,1.54505634554582,-1.59939342025292,-1.46069640255334
"101",61.9,90.1,17.1,8.5,9,68.2,21,"Masculino","Ativ.Remunerada","Padrão",26.8,50.2,0.0463905235207924,-0.754097442991849,-0.727926356440898,-0.789278881198503,-0.203648632774673,-0.222304034120144,-0.451785458067519,0.516192624367573,-0.017637387956187
"102",57.6,103.6,13.8,9.4,14,68.7,21,"Masculino","Ativ.Remunerada","Padrão",26.6,53,-0.541754688683853,0.243451108130762,-1.5319956371957,-0.334411649771404,1.4041037312359,-0.170375971957064,-0.451785458067519,0.453969505408147,0.944401955108582
"103",74.1,96.5,17.2,7.7,10,78.7,23,"Masculino","Estágio","Padrão",30.4,53.2,1.71508159070607,-0.281185537274463,-0.70356062066045,-1.1936053091337,0.117901840027442,0.868185271304525,0.546635443739151,1.63620876563724,1.01311905104178
